地域区分ID, 地域区分名, 登録日, 修正日
id, name, create_on, modify_on
1585,北海道胆振総合振興局安平町,2016-02-13 10:00:00,2016-02-13 10:00:00
1586,北海道胆振総合振興局むかわ町,2016-02-13 10:00:00,2016-02-13 10:00:00
1600,北海道日高振興局,2016-02-13 10:00:00,2016-02-13 10:00:00
1601,北海道日高振興局日高町,2016-02-13 10:00:00,2016-02-13 10:00:00
1602,北海道日高振興局平取町,2016-02-13 10:00:00,2016-02-13 10:00:00
1604,北海道日高振興局新冠町,2016-02-13 10:00:00,2016-02-13 10:00:00
1607,北海道日高振興局浦河町,2016-02-13 10:00:00,2016-02-13 10:00:00
1608,北海道日高振興局様似町,2016-02-13 10:00:00,2016-02-13 10:00:00
1609,北海道日高振興局えりも町,2016-02-13 10:00:00,2016-02-13 10:00:00
1610,北海道日高振興局新ひだか町,2016-02-13 10:00:00,2016-02-13 10:00:00
1630,北海道十勝総合振興局,2016-02-13 10:00:00,2016-02-13 10:00:00
1631,北海道十勝総合振興局音更町,2016-02-13 10:00:00,2016-02-13 10:00:00
1632,北海道十勝総合振興局士幌町,2016-02-13 10:00:00,2016-02-13 10:00:00
1633,北海道十勝総合振興局上士幌町,2016-02-13 10:00:00,2016-02-13 10:00:00
1634,北海道十勝総合振興局鹿追町,2016-02-13 10:00:00,2016-02-13 10:00:00
1635,北海道十勝総合振興局新得町,2016-02-13 10:00:00,2016-02-13 10:00:00
1636,北海道十勝総合振興局清水町,2016-02-13 10:00:00,2016-02-13 10:00:00
1637,北海道十勝総合振興局芽室町,2016-02-13 10:00:00,2016-02-13 10:00:00
1638,北海道十勝総合振興局中札内村,2016-02-13 10:00:00,2016-02-13 10:00:00
1639,北海道十勝総合振興局更別村,2016-02-13 10:00:00,2016-02-13 10:00:00
1641,北海道十勝総合振興局大樹町,2016-02-13 10:00:00,2016-02-13 10:00:00
1642,北海道十勝総合振興局広尾町,2016-02-13 10:00:00,2016-02-13 10:00:00
1643,北海道十勝総合振興局幕別町,2016-02-13 10:00:00,2016-02-13 10:00:00
