郵便番号, 地域区分ID, (旧)郵便番号, 都道府県名(よみ), 市区町村名(よみ), 町域名(よみ), 都道府県名, 市区町村名, 町域名, 一町域が二以上の郵便番号で表される場合の表示, 小字毎に番地が起番されている町域の表示, 丁目を有する町域の場合の表示, 一つの郵便番号で二以上の町域を表す場合の表示, 更新の表示, 変更理由, 登録日, 修正日
post_id, region_id, post_id_old, state_re, cities_re, town_re, state, cities, town,more_info1,more_info2,more_info3,more_info4,more_info5,more_info6, create_on, modify_on
8010865,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼｮｳｼﾞﾏﾁ,福岡県,北九州市門司区,庄司町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010802,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼﾗﾉｴ,福岡県,北九州市門司区,白野江,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000013,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼﾛﾔﾏﾁｮｳ,福岡県,北九州市門司区,城山町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010885,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼﾝｶｲ,福岡県,北九州市門司区,新開,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000053,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼﾝﾊﾗﾏﾁ,福岡県,北九州市門司区,新原町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000115,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼﾝﾓｼﾞ,福岡県,北九州市門司区,新門司,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000113,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼﾝﾓｼﾞｷﾀ,福岡県,北九州市門司区,新門司北,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010884,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｾﾄﾏﾁ,福岡県,北九州市門司区,瀬戸町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000014,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘ,福岡県,北九州市門司区,大里,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000018,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘｻｸﾗｶﾞｵｶ,福岡県,北九州市門司区,大里桜ケ丘,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000057,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘｼﾝﾏﾁ,福岡県,北九州市門司区,大里新町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000024,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘﾄﾉｳｴ,福岡県,北九州市門司区,大里戸ノ上,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000038,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘﾊﾗﾏﾁ,福岡県,北九州市門司区,大里原町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000022,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘﾋｶﾞｼ,福岡県,北九州市門司区,大里東,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000029,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘﾋｶﾞｼｸﾞﾁ,福岡県,北九州市門司区,大里東口,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000063,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘﾎﾝﾏﾁ,福岡県,北九州市門司区,大里本町,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000062,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘﾓﾄﾏﾁ,福岡県,北九州市門司区,大里元町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000033,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾞｲﾘﾓﾓﾔﾏﾁｮｳ,福岡県,北九州市門司区,大里桃山町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010822,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀｶｻｺﾞﾏﾁ,福岡県,北九州市門司区,高砂町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000031,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀｶﾀﾞ,福岡県,北九州市門司区,高田,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010805,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾁﾉｳﾗｶｲｶﾞﾝ,福岡県,北九州市門司区,太刀浦海岸,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010872,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾆﾏﾁ,福岡県,北九州市門司区,谷町,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
